"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"M1340"	"extraction/derivatization"	"M1340"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"15"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_15_3_1_SAMPLE_222309_M1340"	"KIT1-0-3_231630_15_0_3_1_00_222309.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1340"	"extraction/derivatization"	"M1340"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"15"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"PG01-0-1_231657_15_1_1_SAMPLE_222309_M1340"	"PG01-0-1_231657_15_0_1_1_00_222309.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1340"	"extraction/derivatization"	"M1340"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"15"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_15_1_1_SAMPLE_222309_M1340"	"BA01-0-1_231612_15_0_1_1_00_222309.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1340"	"extraction/derivatization"	"M1340"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"15"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"EM01-0-1_231626_15_1_1_SAMPLE_222309_M1340"	"EM01-0-1_231626_15_0_1_1_00_222309.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"extraction/derivatization"	"M1341"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"80"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-41_231630_80_1_1_SAMPLE_222312_M1341"	"KIT1-0-41_231630_80_0_1_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"extraction/derivatization"	"M1341"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"80"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"1"	""	""	"20/05/2010"	"KIT1-0-3_231630_80_3_1_SAMPLE_222312_M1341"	"KIT1-0-3_231630_80_0_3_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"extraction/derivatization"	"M1341"	"PG01-0-1"	"not reported"	""	""	"231657"	""	""	"80"	""	""	"none reported"	""	""	"PG01_QTrap5500_A2B2.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"PG01-0-1_231657_80_1_1_SAMPLE_222312_M1341"	"PG01-0-1_231657_80_0_1_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231657"	"PG01-0-1_231657_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"extraction/derivatization"	"M1341"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"80"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"BA01-0-1_231612_80_1_1_SAMPLE_222312_M1341"	"BA01-0-1_231612_80_0_1_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"extraction/derivatization"	"M1341"	"EM01-0-1"	"not reported"	""	""	"231626"	""	""	"80"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"21/05/2010"	"EM01-0-1_231626_80_1_1_SAMPLE_222312_M1341"	"EM01-0-1_231626_80_0_1_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231626"	"EM01-0-1_231626_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1346"	"extraction/derivatization"	"M1346"	"PG01-0-1"	"not reported"	""	""	"231609"	""	""	"29"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/05/2010"	"PG01-0-1_231609_29_1_1_SAMPLE_222615_M1346"	"PG01-0-1_231609_29_0_1_1_00_222615.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231609"	"PG01-0-1_231609_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1346"	"extraction/derivatization"	"M1346"	"EM01-0-1"	"not reported"	""	""	"231573"	""	""	"29"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/05/2010"	"EM01-0-1_231573_29_1_1_SAMPLE_222615_M1346"	"EM01-0-1_231573_29_0_1_1_00_222615.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231573"	"EM01-0-1_231573_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1346"	"extraction/derivatization"	"M1346"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"29"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"BA01-0-1_231560_29_1_1_SAMPLE_222615_M1346"	"no file28"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1346"	"extraction/derivatization"	"M1346"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231587"	""	""	"29"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"KIT1-0-41_231587_29_1_1_SAMPLE_222615_M1346"	"KIT1-0-41_231587_29_0_1_1_00_222615.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231587"	"KIT1-0-41_231587_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1347"	"extraction/derivatization"	"M1347"	"PG01-0-1"	"not reported"	""	""	"231609"	""	""	"41"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/05/2010"	"PG01-0-1_231609_41_1_1_SAMPLE_222629_M1347"	"PG01-0-1_231609_41_0_1_1_00_222629.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231609"	"PG01-0-1_231609_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1347"	"extraction/derivatization"	"M1347"	"EM01-0-1"	"not reported"	""	""	"231573"	""	""	"41"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/05/2010"	"EM01-0-1_231573_41_1_1_SAMPLE_222629_M1347"	"EM01-0-1_231573_41_0_1_1_00_222629.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231573"	"EM01-0-1_231573_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1347"	"extraction/derivatization"	"M1347"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"41"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"BA01-0-1_231560_41_1_1_SAMPLE_222629_M1347"	"no file43"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1347"	"extraction/derivatization"	"M1347"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231587"	""	""	"41"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"KIT1-0-41_231587_41_1_1_SAMPLE_222629_M1347"	"KIT1-0-41_231587_41_0_1_1_00_222629.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231587"	"KIT1-0-41_231587_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1348"	"extraction/derivatization"	"M1348"	"PG01-0-1"	"not reported"	""	""	"231609"	""	""	"19"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"PG01-0-1_231609_19_1_1_SAMPLE_222632_M1348"	"PG01-0-1_231609_19_0_1_1_00_222632.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231609"	"PG01-0-1_231609_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1348"	"extraction/derivatization"	"M1348"	"EM01-0-1"	"not reported"	""	""	"231573"	""	""	"19"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"EM01-0-1_231573_19_1_1_SAMPLE_222632_M1348"	"EM01-0-1_231573_19_0_1_1_00_222632.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231573"	"EM01-0-1_231573_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1348"	"extraction/derivatization"	"M1348"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"19"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"BA01-0-1_231560_19_1_1_SAMPLE_222632_M1348"	"no file18"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1348"	"extraction/derivatization"	"M1348"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231587"	""	""	"19"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"KIT1-0-41_231587_19_1_1_SAMPLE_222632_M1348"	"KIT1-0-41_231587_19_0_1_1_00_222632.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231587"	"KIT1-0-41_231587_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1349"	"extraction/derivatization"	"M1349"	"PG01-0-1"	"not reported"	""	""	"231609"	""	""	"6"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"PG01-0-1_231609_6_1_1_SAMPLE_222646_M1349"	"PG01-0-1_231609_06_0_1_1_00_222646.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231609"	"PG01-0-1_231609_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1349"	"extraction/derivatization"	"M1349"	"EM01-0-1"	"not reported"	""	""	"231573"	""	""	"6"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-04-13.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"EM01-0-1_231573_6_1_1_SAMPLE_222646_M1349"	"EM01-0-1_231573_06_0_1_1_00_222646.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_231573"	"EM01-0-1_231573_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1349"	"extraction/derivatization"	"M1349"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"6"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/05/2010"	"BA01-0-1_231560_6_1_1_SAMPLE_222646_M1349"	"no file6"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1349"	"extraction/derivatization"	"M1349"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231587"	""	""	"6"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"KIT1-0-41_231587_6_1_1_SAMPLE_222646_M1349"	"KIT1-0-41_231587_06_0_1_1_00_222646.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231587"	"KIT1-0-41_231587_maf-negative.txt"	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1376-1-4"	"extraction/derivatization"	"M1376-1-4"	"KIT1-0-5"	"Biocrates p150 Kit"	""	""	"311996"	""	""	"40"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/11/2010"	"KIT1-0-5_311996_40_1_1_SAMPLE_309106_M1376-1-4"	"KIT1-0-5_311996_40_0_1_1_00_309106.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-5_311996"	"KIT1-0-5_311996_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1376-1-4"	"extraction/derivatization"	"M1376-1-4"	"PG01-0-1"	"not reported"	""	""	"312017"	""	""	"40"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/11/2010"	"PG01-0-1_312017_40_1_1_SAMPLE_309106_M1376-1-4"	"PG01-0-1_312017_40_0_1_1_00_309106.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_312017"	"PG01-0-1_312017_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1376-1-4"	"extraction/derivatization"	"M1376-1-4"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"3"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_3_1_1_SAMPLE_309106_M1376-1-4"	"BA01-0-1_306281_03_0_1_1_00_309106.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1376-1-4"	"extraction/derivatization"	"M1376-1-4"	"EM01-0-2"	"not reported"	""	""	"306295"	""	""	"3"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-09-16_right.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"16/11/2010"	"EM01-0-2_306295_3_1_1_SAMPLE_309106_M1376-1-4"	"EM01-0-2_306295_03_0_1_1_00_309106.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-2_306295"	"EM01-0-2_306295_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1377-1-4"	"extraction/derivatization"	"M1377-1-4"	"KIT1-0-5"	"Biocrates p150 Kit"	""	""	"311996"	""	""	"44"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/11/2010"	"KIT1-0-5_311996_44_1_1_SAMPLE_311339_M1377-1-4"	"KIT1-0-5_311996_44_0_1_1_00_311339.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-5_311996"	"KIT1-0-5_311996_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1377-1-4"	"extraction/derivatization"	"M1377-1-4"	"PG01-0-1"	"not reported"	""	""	"312017"	""	""	"44"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"19/11/2010"	"PG01-0-1_312017_44_1_1_SAMPLE_311339_M1377-1-4"	"PG01-0-1_312017_44_0_1_1_00_311339.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_312017"	"PG01-0-1_312017_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1377-1-4"	"extraction/derivatization"	"M1377-1-4"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"68"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/11/2010"	"BA01-0-1_306281_68_1_1_SAMPLE_311339_M1377-1-4"	"BA01-0-1_306281_68_0_1_1_00_311339.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1377-1-4"	"extraction/derivatization"	"M1377-1-4"	"EM01-0-2"	"not reported"	""	""	"306295"	""	""	"68"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-09-16_right.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"EM01-0-2_306295_68_1_1_SAMPLE_311339_M1377-1-4"	"EM01-0-2_306295_68_0_1_1_00_311339.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-2_306295"	"EM01-0-2_306295_maf-negative.txt"	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
