"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"
"M2225"	"extraction/derivatization"	"M2225"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"35"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_35_1_1_SAMPLE_222966_M2225"	"KIT2-0-20_231591_35_0_1_1_00_222966.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1090"	"extraction/derivatization"	"M1090"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"32"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_32_1_1_SAMPLE_222576_M1090"	"KIT2-0-20_231591_32_0_1_1_00_222576.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2273"	"extraction/derivatization"	"M2273"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"33"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_33_1_1_SAMPLE_223052_M2273"	"KIT2-0-20_231591_33_0_1_1_00_223052.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2274"	"extraction/derivatization"	"M2274"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"38"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_38_1_1_SAMPLE_223066_M2274"	"KIT2-0-20_231591_38_0_1_1_00_223066.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2271"	"extraction/derivatization"	"M2271"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"39"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_39_1_1_SAMPLE_223035_M2271"	"KIT2-0-20_231591_39_0_1_1_00_223035.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2219"	"extraction/derivatization"	"M2219"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"36"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_36_1_1_SAMPLE_223184_M2219"	"KIT2-0-20_231591_36_0_1_1_00_223184.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"KIT2 L3"	"extraction/derivatization"	"KIT2 L3"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"37"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_37_1_1_STANDARD_L3_200057_KIT2 L3"	"KIT2-0-20_231591_37_0_1_1_02_200057.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M611"	"extraction/derivatization"	"M611"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"42"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_42_1_1_SAMPLE_222431_M611"	"KIT2-0-20_231591_42_0_1_1_00_222431.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M469"	"extraction/derivatization"	"M469"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"43"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_43_1_1_SAMPLE_222650_M469"	"KIT2-0-20_231591_43_0_1_1_00_222650.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2279"	"extraction/derivatization"	"M2279"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"40"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_40_1_1_SAMPLE_223119_M2279"	"KIT2-0-20_231591_40_0_1_1_00_223119.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1347"	"extraction/derivatization"	"M1347"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"41"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_41_1_1_SAMPLE_222629_M1347"	"KIT2-0-20_231591_41_0_1_1_00_222629.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2235"	"extraction/derivatization"	"M2235"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"46"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_46_1_1_SAMPLE_223237_M2235"	"KIT2-0-20_231591_46_0_1_1_00_223237.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2254"	"extraction/derivatization"	"M2254"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"47"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_47_1_1_SAMPLE_223271_M2254"	"KIT2-0-20_231591_47_0_1_1_00_223271.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1004"	"extraction/derivatization"	"M1004"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"44"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_44_1_1_SAMPLE_222489_M1004"	"KIT2-0-20_231591_44_0_1_1_00_222489.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2276"	"extraction/derivatization"	"M2276"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"45"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_45_1_1_SAMPLE_223083_M2276"	"KIT2-0-20_231591_45_0_1_1_00_223083.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2269"	"extraction/derivatization"	"M2269"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"51"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_51_1_1_SAMPLE_223018_M2269"	"KIT2-0-20_231591_51_0_1_1_00_223018.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M379"	"extraction/derivatization"	"M379"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"50"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_50_1_1_SAMPLE_222357_M379"	"KIT2-0-20_231591_50_0_1_1_00_222357.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"KIT2 L4"	"extraction/derivatization"	"KIT2 L4"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"49"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_49_1_1_STANDARD_L4_200061_KIT2 L4"	"KIT2-0-20_231591_49_0_1_1_02_200061.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2283"	"extraction/derivatization"	"M2283"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"48"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_48_1_1_SAMPLE_223153_M2283"	"KIT2-0-20_231591_48_0_1_1_00_223153.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"55"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_55_1_1_QC_1_33000362_QC_1"	"KIT2-0-20_231591_55_0_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1385"	"extraction/derivatization"	"M1385"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"54"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_54_1_1_SAMPLE_222400_M1385"	"KIT2-0-20_231591_54_0_1_1_00_222400.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1038"	"extraction/derivatization"	"M1038"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"53"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_53_1_1_SAMPLE_222677_M1038"	"KIT2-0-20_231591_53_0_1_1_00_222677.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2226"	"extraction/derivatization"	"M2226"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"52"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_52_1_1_SAMPLE_222970_M2226"	"KIT2-0-20_231591_52_0_1_1_00_222970.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2218"	"extraction/derivatization"	"M2218"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"59"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_59_1_1_SAMPLE_223171_M2218"	"KIT2-0-20_231591_59_0_1_1_00_223171.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2220"	"extraction/derivatization"	"M2220"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"58"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_58_1_1_SAMPLE_223198_M2220"	"KIT2-0-20_231591_58_0_1_1_00_223198.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2278"	"extraction/derivatization"	"M2278"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"57"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_57_1_1_SAMPLE_223105_M2278"	"KIT2-0-20_231591_57_0_1_1_00_223105.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M615"	"extraction/derivatization"	"M615"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"56"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_56_1_1_SAMPLE_222501_M615"	"KIT2-0-20_231591_56_0_1_1_00_222501.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M446"	"extraction/derivatization"	"M446"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"63"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_63_1_1_SAMPLE_222528_M446"	"KIT2-0-20_231591_63_0_1_1_00_222528.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2231"	"extraction/derivatization"	"M2231"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"62"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_62_1_1_SAMPLE_222983_M2231"	"KIT2-0-20_231591_62_0_1_1_00_222983.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"KIT2 L5"	"extraction/derivatization"	"KIT2 L5"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"61"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_61_1_1_STANDARD_L5_200074_KIT2 L5"	"KIT2-0-20_231591_61_0_1_1_02_200074.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M449"	"extraction/derivatization"	"M449"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"68"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_68_1_1_SAMPLE_222559_M449"	"KIT2-0-20_231591_68_0_1_1_00_222559.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2253"	"extraction/derivatization"	"M2253"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"69"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_69_1_1_SAMPLE_223268_M2253"	"KIT2-0-20_231591_69_0_1_1_00_223268.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2233"	"extraction/derivatization"	"M2233"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"70"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_70_1_1_SAMPLE_223210_M2233"	"KIT2-0-20_231591_70_0_1_1_00_223210.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M262"	"extraction/derivatization"	"M262"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"71"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-18"	"KIT2-0-20_231591_71_1_1_SAMPLE_223206_M262"	"KIT2-0-20_231591_71_0_1_1_00_223206.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1384"	"extraction/derivatization"	"M1384"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"64"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_64_1_1_SAMPLE_222391_M1384"	"KIT2-0-20_231591_64_0_1_1_00_222391.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1078"	"extraction/derivatization"	"M1078"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"65"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_65_1_1_SAMPLE_222716_M1078"	"KIT2-0-20_231591_65_0_1_1_00_222716.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M376"	"extraction/derivatization"	"M376"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"66"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_66_1_1_SAMPLE_222326_M376"	"KIT2-0-20_231591_66_0_1_1_00_222326.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M1003"	"extraction/derivatization"	"M1003"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"67"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_67_1_1_SAMPLE_222475_M1003"	"KIT2-0-20_231591_67_0_1_1_00_222475.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
"M2236"	"extraction/derivatization"	"M2236"	"KIT2-0-20"	"not reported"	""	""	"231591"	""	""	"76"	""	""	"none reported"	""	""	"KIT2_A1B1_2010-04-29_V1-left.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-17"	"KIT2-0-20_231591_76_1_1_SAMPLE_223241_M2236"	"KIT2-0-20_231591_76_0_1_1_00_223241.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT2-0-20_231591"	"KIT2-0-20_231591_maf-positive.txt"
